latitude,longitude,time_rel,gpsspeed
38.083396,-122.233201,134420,69.51994034
38.083675,-122.233167,134421,69.54330373
38.083955,-122.23312,134422,69.60580376
38.084232,-122.233073,134423,69.70104161
38.084508,-122.23302,134424,69.79300554
38.084784,-122.232957,134425,69.83668077
38.085059,-122.232889,134426,69.81651668
38.085333,-122.232819,134427,69.75766196
38.085605,-122.232741,134428,69.70178323
38.085879,-122.23265,134429,69.67469921
38.086149,-122.232554,134430,69.66621688
38.086416,-122.232453,134431,69.64240781
38.086683,-122.232344,134432,69.5819176
38.08695,-122.232233,134433,69.4926327
38.087216,-122.232119,134434,69.3936005
38.087483,-122.232002,134435,69.29166626
38.087749,-122.231886,134436,69.18273798
38.088012,-122.23177,134437,69.07321459
38.088278,-122.231655,134438,68.99256008
38.088541,-122.231541,134439,68.97931586
38.088806,-122.231422,134440,69.04761903
38.089069,-122.231308,134441,69.16607122
38.089333,-122.231195,134442,69.27879478
38.089595,-122.231077,134443,69.34650385
38.089856,-122.230964,134444,69.35974843
38.090121,-122.230855,134445,69.32306677
38.090386,-122.230741,134446,69.24442035
38.090651,-122.230631,134447,69.14047637
38.090918,-122.230526,134448,69.03965776
38.091186,-122.230427,134449,68.97120554
38.091455,-122.230337,134450,68.94642897
38.091725,-122.230255,134451,68.95617605
38.091996,-122.230182,134452,68.98616109
38.09227,-122.230116,134453,68.98630984
38.092542,-122.23006,134454,68.83883966
38.092818,-122.230015,134455,68.48898871
38.093093,-122.229978,134456,68.09881055
38.09337,-122.22994,134457,67.94092402
